codigo_actividad,meta_participantes,duracion_horas,fecha_realizacion,codigo_participante
"ACT-031","38","6.00","2025-12-12","PAR-007"
"ACT-031","38","6.00","2025-12-12","PAR-008"
"ACT-031","38","6.00","2025-12-12","PAR-018"
"ACT-031","38","6.00","2025-12-12","PAR-020"
"ACT-031","38","6.00","2025-12-12","PAR-024"
"ACT-031","38","6.00","2025-12-12","PAR-032"
"ACT-031","38","6.00","2025-12-12","PAR-034"
"ACT-031","38","6.00","2025-12-12","PAR-036"
"ACT-031","38","6.00","2025-12-12","PAR-049"
"ACT-031","38","6.00","2025-12-12","PAR-054"
"ACT-031","38","6.00","2025-12-12","PAR-061"
"ACT-031","38","6.00","2025-12-12","PAR-063"
"ACT-031","38","6.00","2025-12-12","PAR-068"
"ACT-031","38","6.00","2025-12-12","PAR-073"
"ACT-031","38","6.00","2025-12-12","PAR-079"
"ACT-031","38","6.00","2025-12-12","PAR-082"
"ACT-031","38","6.00","2025-12-12","PAR-086"
"ACT-031","38","6.00","2025-12-12","PAR-091"
"ACT-031","38","6.00","2025-12-12","PAR-092"
"ACT-031","38","6.00","2025-12-12","PAR-093"
"ACT-031","38","6.00","2025-12-12","PAR-105"
"ACT-031","38","6.00","2025-12-12","PAR-108"
"ACT-031","38","6.00","2025-12-12","PAR-111"
"ACT-031","38","6.00","2025-12-12","PAR-119"
"ACT-031","38","6.00","2025-12-12","PAR-120"
"ACT-031","38","6.00","2025-12-12","PAR-123"
"ACT-031","38","6.00","2025-12-12","PAR-126"
"ACT-031","38","6.00","2025-12-12","PAR-133"
"ACT-031","38","6.00","2025-12-12","PAR-134"
"ACT-031","38","6.00","2025-12-12","PAR-137"
"ACT-031","38","6.00","2025-12-12","PAR-145"
"ACT-031","38","6.00","2025-12-12","PAR-146"
"ACT-031","38","6.00","2025-12-12","PAR-148"
"ACT-031","38","6.00","2025-12-12","PAR-150"
"ACT-031","38","6.00","2025-12-12","PAR-161"
"ACT-031","38","6.00","2025-12-12","PAR-163"
"ACT-031","38","6.00","2025-12-12","PAR-165"
"ACT-031","38","6.00","2025-12-12","PAR-167"
"ACT-031","38","6.00","2025-12-12","PAR-172"
"ACT-031","38","6.00","2025-12-12","PAR-174"
"ACT-031","38","6.00","2025-12-12","PAR-175"
"ACT-031","38","6.00","2025-12-12","PAR-179"
"ACT-031","38","6.00","2025-12-12","PAR-184"
"ACT-031","38","6.00","2025-12-12","PAR-186"
"ACT-031","38","6.00","2025-12-12","PAR-192"
"ACT-031","38","6.00","2025-12-12","PAR-201"
"ACT-031","38","6.00","2025-12-12","PAR-202"
"ACT-031","38","6.00","2025-12-12","PAR-209"
"ACT-031","38","6.00","2025-12-12","PAR-213"
"ACT-031","38","6.00","2025-12-12","PAR-218"
"ACT-031","38","6.00","2025-12-12","PAR-225"
"ACT-031","38","6.00","2025-12-12","PAR-227"
"ACT-031","38","6.00","2025-12-12","PAR-232"
"ACT-031","38","6.00","2025-12-12","PAR-234"
"ACT-031","38","6.00","2025-12-12","PAR-237"
"ACT-031","38","6.00","2025-12-12","PAR-238"
"ACT-031","38","6.00","2025-12-12","PAR-240"
"ACT-031","38","6.00","2025-12-12","PAR-241"
"ACT-031","38","6.00","2025-12-12","PAR-243"
"ACT-031","38","6.00","2025-12-12","PAR-270"
"ACT-031","38","6.00","2025-12-12","PAR-271"
"ACT-031","38","6.00","2025-12-12","PAR-274"
"ACT-031","38","6.00","2025-12-12","PAR-278"
"ACT-031","38","6.00","2025-12-12","PAR-279"
"ACT-031","38","6.00","2025-12-12","PAR-282"
"ACT-031","38","6.00","2025-12-12","PAR-290"
"ACT-031","38","6.00","2025-12-12","PAR-294"
"ACT-031","38","6.00","2025-12-12","PAR-299"
"ACT-031","38","6.00","2025-12-12","PAR-300"
"ACT-032","42","5.00","2025-05-29","PAR-001"
"ACT-032","42","5.00","2025-05-29","PAR-002"
"ACT-032","42","5.00","2025-05-29","PAR-004"
"ACT-032","42","5.00","2025-05-29","PAR-010"
"ACT-032","42","5.00","2025-05-29","PAR-012"
"ACT-032","42","5.00","2025-05-29","PAR-014"
"ACT-032","42","5.00","2025-05-29","PAR-015"
"ACT-032","42","5.00","2025-05-29","PAR-019"
"ACT-032","42","5.00","2025-05-29","PAR-022"
"ACT-032","42","5.00","2025-05-29","PAR-023"
"ACT-032","42","5.00","2025-05-29","PAR-027"
"ACT-032","42","5.00","2025-05-29","PAR-042"
"ACT-032","42","5.00","2025-05-29","PAR-050"
"ACT-032","42","5.00","2025-05-29","PAR-052"
"ACT-032","42","5.00","2025-05-29","PAR-057"
"ACT-032","42","5.00","2025-05-29","PAR-062"
"ACT-032","42","5.00","2025-05-29","PAR-074"
"ACT-032","42","5.00","2025-05-29","PAR-078"
"ACT-032","42","5.00","2025-05-29","PAR-082"
"ACT-032","42","5.00","2025-05-29","PAR-083"
"ACT-032","42","5.00","2025-05-29","PAR-087"
"ACT-032","42","5.00","2025-05-29","PAR-095"
"ACT-032","42","5.00","2025-05-29","PAR-096"
"ACT-032","42","5.00","2025-05-29","PAR-102"
"ACT-032","42","5.00","2025-05-29","PAR-103"
"ACT-032","42","5.00","2025-05-29","PAR-113"
"ACT-032","42","5.00","2025-05-29","PAR-142"
"ACT-032","42","5.00","2025-05-29","PAR-144"
"ACT-032","42","5.00","2025-05-29","PAR-145"
"ACT-032","42","5.00","2025-05-29","PAR-153"
"ACT-032","42","5.00","2025-05-29","PAR-157"
"ACT-032","42","5.00","2025-05-29","PAR-159"
"ACT-032","42","5.00","2025-05-29","PAR-160"
"ACT-032","42","5.00","2025-05-29","PAR-168"
"ACT-032","42","5.00","2025-05-29","PAR-176"
"ACT-032","42","5.00","2025-05-29","PAR-181"
"ACT-032","42","5.00","2025-05-29","PAR-183"
"ACT-032","42","5.00","2025-05-29","PAR-187"
"ACT-032","42","5.00","2025-05-29","PAR-192"
"ACT-032","42","5.00","2025-05-29","PAR-195"
"ACT-032","42","5.00","2025-05-29","PAR-205"
"ACT-032","42","5.00","2025-05-29","PAR-207"
"ACT-032","42","5.00","2025-05-29","PAR-213"
"ACT-032","42","5.00","2025-05-29","PAR-216"
"ACT-032","42","5.00","2025-05-29","PAR-218"
"ACT-032","42","5.00","2025-05-29","PAR-229"
"ACT-032","42","5.00","2025-05-29","PAR-231"
"ACT-032","42","5.00","2025-05-29","PAR-235"
"ACT-032","42","5.00","2025-05-29","PAR-240"
"ACT-032","42","5.00","2025-05-29","PAR-253"
"ACT-032","42","5.00","2025-05-29","PAR-254"
"ACT-032","42","5.00","2025-05-29","PAR-256"
"ACT-032","42","5.00","2025-05-29","PAR-261"
"ACT-032","42","5.00","2025-05-29","PAR-263"
"ACT-032","42","5.00","2025-05-29","PAR-266"
"ACT-032","42","5.00","2025-05-29","PAR-278"
"ACT-032","42","5.00","2025-05-29","PAR-282"
"ACT-032","42","5.00","2025-05-29","PAR-289"
"ACT-032","42","5.00","2025-05-29","PAR-292"
"ACT-033","40","8.00","2025-12-25","PAR-007"
"ACT-033","40","8.00","2025-12-25","PAR-008"
"ACT-033","40","8.00","2025-12-25","PAR-018"
"ACT-033","40","8.00","2025-12-25","PAR-020"
"ACT-033","40","8.00","2025-12-25","PAR-024"
"ACT-033","40","8.00","2025-12-25","PAR-032"
"ACT-033","40","8.00","2025-12-25","PAR-034"
"ACT-033","40","8.00","2025-12-25","PAR-036"
"ACT-033","40","8.00","2025-12-25","PAR-049"
"ACT-033","40","8.00","2025-12-25","PAR-054"
"ACT-033","40","8.00","2025-12-25","PAR-061"
"ACT-033","40","8.00","2025-12-25","PAR-063"
"ACT-033","40","8.00","2025-12-25","PAR-068"
"ACT-033","40","8.00","2025-12-25","PAR-073"
"ACT-033","40","8.00","2025-12-25","PAR-079"
"ACT-033","40","8.00","2025-12-25","PAR-082"
"ACT-033","40","8.00","2025-12-25","PAR-086"
"ACT-033","40","8.00","2025-12-25","PAR-091"
"ACT-033","40","8.00","2025-12-25","PAR-092"
"ACT-033","40","8.00","2025-12-25","PAR-093"
"ACT-033","40","8.00","2025-12-25","PAR-105"
"ACT-033","40","8.00","2025-12-25","PAR-108"
"ACT-033","40","8.00","2025-12-25","PAR-111"
