codigo_actividad,codigo_participante,estado_asistencia,completo_actividad,horas_participacion,fecha_registro
ACT-001,PAR-032,Presente,True,6.0,2024-03-10
ACT-001,PAR-049,Presente,True,6.0,2024-03-10
ACT-001,PAR-053,Presente,True,6.0,2024-03-10
ACT-001,PAR-055,Presente,True,6.0,2024-03-10
ACT-001,PAR-074,Presente,True,6.0,2024-03-10
ACT-001,PAR-090,Presente,True,6.0,2024-03-10
ACT-001,PAR-097,Presente,True,6.0,2024-03-10
ACT-001,PAR-098,Ausente,False,0.0,2024-03-10
ACT-001,PAR-104,Presente,True,6.0,2024-03-10
ACT-001,PAR-112,Presente,True,6.0,2024-03-10
ACT-001,PAR-113,Presente,True,6.0,2024-03-10
ACT-001,PAR-070,Presente,True,6.0,2024-03-10
ACT-001,PAR-093,Presente,True,6.0,2024-03-10
ACT-001,PAR-135,Presente,True,6.0,2024-03-10
ACT-001,PAR-107,Presente,True,6.0,2024-03-10
ACT-001,PAR-143,Presente,True,6.0,2024-03-10
ACT-001,PAR-051,Presente,True,6.0,2024-03-10
ACT-001,PAR-068,Presente,True,6.0,2024-03-10
ACT-001,PAR-105,Presente,True,6.0,2024-03-10
ACT-001,PAR-099,Presente,True,6.0,2024-03-10
ACT-001,PAR-008,Presente,False,4.67,2024-03-10
ACT-001,PAR-059,Presente,False,4.7,2024-03-10
ACT-001,PAR-047,Presente,True,6.0,2024-03-10
ACT-001,PAR-019,Presente,True,6.0,2024-03-10
ACT-002,PAR-001,Presente,True,8.0,2024-04-16
ACT-002,PAR-005,Presente,True,8.0,2024-04-16
ACT-002,PAR-007,Presente,True,8.0,2024-04-16
ACT-002,PAR-010,Presente,True,8.0,2024-04-16
ACT-002,PAR-017,Presente,True,8.0,2024-04-16
ACT-002,PAR-039,Presente,True,8.0,2024-04-16
ACT-002,PAR-067,Presente,True,8.0,2024-04-16
ACT-002,PAR-072,Presente,True,8.0,2024-04-16
ACT-002,PAR-086,Presente,False,5.81,2024-04-16
ACT-002,PAR-103,Presente,True,8.0,2024-04-16
ACT-002,PAR-110,Presente,True,8.0,2024-04-16
ACT-002,PAR-120,Presente,True,8.0,2024-04-16
ACT-002,PAR-123,Ausente,False,0.0,2024-04-16
ACT-002,PAR-126,Presente,True,8.0,2024-04-16
ACT-002,PAR-003,Presente,True,8.0,2024-04-16
ACT-002,PAR-052,Presente,True,8.0,2024-04-16
ACT-002,PAR-077,Presente,True,8.0,2024-04-16
ACT-002,PAR-036,Presente,True,8.0,2024-04-16
ACT-002,PAR-025,Ausente,False,0.0,2024-04-16
ACT-002,PAR-130,Presente,True,8.0,2024-04-16
ACT-002,PAR-083,Presente,True,8.0,2024-04-16
ACT-002,PAR-114,Presente,True,8.0,2024-04-16
ACT-002,PAR-137,Presente,True,8.0,2024-04-16
ACT-002,PAR-091,Presente,True,8.0,2024-04-16
ACT-002,PAR-015,Presente,True,8.0,2024-04-16
ACT-002,PAR-085,Ausente,False,0.0,2024-04-16
ACT-002,PAR-029,Ausente,False,0.0,2024-04-16
ACT-002,PAR-078,Presente,False,5.64,2024-04-16
ACT-002,PAR-073,Presente,False,6.36,2024-04-16
ACT-002,PAR-054,Presente,False,5.28,2024-04-16
ACT-002,PAR-117,Ausente,False,0.0,2024-04-16
ACT-012,PAR-137,Presente,True,7.0,2025-02-04
ACT-012,PAR-114,Presente,True,7.0,2025-02-04
ACT-012,PAR-083,Presente,True,7.0,2025-02-04
ACT-012,PAR-001,Presente,True,7.0,2025-02-04
ACT-012,PAR-003,Retiro temprano,False,4.12,2025-02-04
ACT-012,PAR-066,Presente,True,7.0,2025-02-04
ACT-012,PAR-067,Presente,True,7.0,2025-02-04
ACT-012,PAR-010,Presente,False,4.77,2025-02-04
ACT-012,PAR-130,Presente,True,7.0,2025-02-04
ACT-012,PAR-120,Presente,True,7.0,2025-02-04
ACT-012,PAR-100,Presente,True,7.0,2025-02-04
ACT-012,PAR-124,Presente,False,4.38,2025-02-04
ACT-012,PAR-073,Presente,True,7.0,2025-02-04
ACT-012,PAR-091,Presente,True,7.0,2025-02-04
ACT-012,PAR-110,Presente,True,7.0,2025-02-04
ACT-012,PAR-025,Presente,True,7.0,2025-02-04
ACT-012,PAR-035,Presente,True,7.0,2025-02-04
ACT-012,PAR-036,Presente,False,5.67,2025-02-04
ACT-012,PAR-029,Presente,True,7.0,2025-02-04
ACT-012,PAR-081,Presente,True,7.0,2025-02-04
ACT-012,PAR-086,Presente,True,7.0,2025-02-04
ACT-012,PAR-005,Presente,True,7.0,2025-02-04
ACT-012,PAR-072,Presente,True,7.0,2025-02-04
ACT-012,PAR-117,Presente,True,7.0,2025-02-04
ACT-012,PAR-092,Presente,True,7.0,2025-02-04
ACT-012,PAR-012,Presente,True,7.0,2025-02-04
ACT-012,PAR-054,Presente,True,7.0,2025-02-04
ACT-012,PAR-064,Presente,True,7.0,2025-02-04
ACT-032,PAR-029,Presente,True,5.0,2025-05-29
ACT-032,PAR-017,Presente,True,5.0,2025-05-29
ACT-032,PAR-001,Presente,False,3.18,2025-05-29
ACT-032,PAR-137,Presente,True,5.0,2025-05-29
ACT-032,PAR-054,Presente,True,5.0,2025-05-29
ACT-032,PAR-072,Presente,True,5.0,2025-05-29
ACT-032,PAR-135,Presente,True,5.0,2025-05-29
ACT-032,PAR-130,Presente,True,5.0,2025-05-29
ACT-032,PAR-105,Presente,True,5.0,2025-05-29
ACT-032,PAR-112,Presente,False,3.31,2025-05-29
ACT-032,PAR-008,Presente,True,5.0,2025-05-29
ACT-032,PAR-049,Retiro temprano,False,1.76,2025-05-29
ACT-032,PAR-064,Ausente,False,0.0,2025-05-29
ACT-032,PAR-116,Ausente,False,0.0,2025-05-29
ACT-032,PAR-099,Presente,True,5.0,2025-05-29
ACT-032,PAR-016,Presente,True,5.0,2025-05-29
ACT-032,PAR-113,Presente,True,5.0,2025-05-29
ACT-032,PAR-077,Presente,True,5.0,2025-05-29
ACT-032,PAR-032,Presente,True,5.0,2025-05-29
