codigo_proyecto,codigo_participante,estado_participacion,core_esperadas,core_completadas,tasa_core,programa_completado,elegible_endline
P01,PAR-001,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-005,Finalizada,3,3,1.0,True,True
P01,PAR-007,Finalizada,3,1,0.3333333333333333,False,True
P01,PAR-010,Retirada,1,1,1.0,False,False
P01,PAR-017,Finalizada,3,3,1.0,True,True
P01,PAR-032,Finalizada,3,3,1.0,True,True
P01,PAR-039,Retirada,1,1,1.0,False,False
P01,PAR-049,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-053,Finalizada,3,3,1.0,True,True
P01,PAR-055,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-067,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-072,Finalizada,3,3,1.0,True,True
P01,PAR-074,Finalizada,3,3,1.0,True,True
P01,PAR-086,Finalizada,3,1,0.3333333333333333,False,True
P01,PAR-090,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-097,Finalizada,3,1,0.3333333333333333,False,True
P01,PAR-098,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-103,Finalizada,3,3,1.0,True,True
P01,PAR-104,Finalizada,3,2,0.6666666666666666,False,True
P01,PAR-110,Finalizada,3,3,1.0,True,True
P01,PAR-112,Finalizada,3,3,1.0,True,True
P01,PAR-113,Finalizada,3,3,1.0,True,True
P01,PAR-120,Finalizada,3,3,1.0,True,True
P01,PAR-123,Finalizada,3,1,0.3333333333333333,False,True
P01,PAR-126,Finalizada,3,2,0.6666666666666666,False,True
P02,PAR-147,Finalizada,5,3,0.6,False,True
P02,PAR-150,Finalizada,5,4,0.8,True,True
P02,PAR-154,Finalizada,5,3,0.6,False,True
P02,PAR-155,Finalizada,4,4,1.0,True,True
P02,PAR-158,Finalizada,4,4,1.0,True,True
P02,PAR-159,Retirada,2,1,0.5,False,False
P02,PAR-161,Finalizada,5,4,0.8,True,True
P02,PAR-164,Finalizada,5,4,0.8,True,True
P02,PAR-171,Finalizada,5,4,0.8,True,True
P02,PAR-176,Finalizada,5,3,0.6,False,True
P02,PAR-177,Finalizada,5,5,1.0,True,True
P02,PAR-178,Finalizada,5,5,1.0,True,True
P02,PAR-181,Finalizada,4,3,0.75,True,True
P02,PAR-185,Finalizada,4,2,0.5,False,True
P02,PAR-186,Finalizada,5,2,0.4,False,True
P02,PAR-188,Finalizada,5,4,0.8,True,True
P02,PAR-189,Retirada,2,1,0.5,False,False
P02,PAR-191,Finalizada,4,2,0.5,False,True
P02,PAR-193,Finalizada,5,3,0.6,False,True
P02,PAR-197,Finalizada,5,2,0.4,False,True
P03,PAR-202,Finalizada,4,3,0.75,True,True
P03,PAR-204,Finalizada,6,4,0.6666666666666666,False,True
P03,PAR-205,Finalizada,6,3,0.5,False,True
P03,PAR-207,Retirada,1,0,0.0,False,False
P03,PAR-212,Finalizada,6,4,0.6666666666666666,False,True
P03,PAR-230,Finalizada,6,4,0.6666666666666666,False,True
P03,PAR-233,Finalizada,4,3,0.75,True,True
P03,PAR-235,Retirada,3,3,1.0,False,False
P03,PAR-236,Finalizada,6,4,0.6666666666666666,False,True
P03,PAR-241,Finalizada,4,3,0.75,True,True
P03,PAR-243,Finalizada,6,6,1.0,True,True
P03,PAR-247,Finalizada,4,2,0.5,False,True
P03,PAR-253,Finalizada,4,4,1.0,True,True
P03,PAR-254,Finalizada,4,4,1.0,True,True
P03,PAR-257,Finalizada,6,3,0.5,False,True
P03,PAR-260,Finalizada,6,5,0.8333333333333334,True,True
P03,PAR-267,Finalizada,4,1,0.25,False,True
P03,PAR-270,Finalizada,6,2,0.3333333333333333,False,True
P03,PAR-283,Finalizada,6,3,0.5,False,True
P03,PAR-288,Finalizada,4,4,1.0,True,True
P03,PAR-290,Finalizada,4,4,1.0,True,True
P03,PAR-291,Finalizada,4,3,0.75,True,True
P03,PAR-292,Finalizada,4,4,1.0,True,True
P03,PAR-293,Finalizada,6,5,0.8333333333333334,True,True
P03,PAR-295,Finalizada,6,2,0.3333333333333333,False,True
P03,PAR-300,Finalizada,6,1,0.16666666666666666,False,True
P04,PAR-010,Finalizada,5,4,0.8,True,True
P04,PAR-011,Finalizada,6,4,0.6666666666666666,False,True
P04,PAR-014,Finalizada,6,6,1.0,True,True
P04,PAR-017,Finalizada,5,4,0.8,True,True
P04,PAR-018,Finalizada,6,4,0.6666666666666666,False,True
P04,PAR-032,Finalizada,6,5,0.8333333333333334,True,True
P04,PAR-033,Finalizada,5,3,0.6,False,True
P04,PAR-077,Finalizada,5,4,0.8,True,True
P04,PAR-082,Finalizada,5,2,0.4,False,True
P04,PAR-084,Finalizada,6,2,0.3333333333333333,False,True
P04,PAR-095,Finalizada,6,6,1.0,True,True
P04,PAR-096,Finalizada,5,2,0.4,False,True
P04,PAR-100,Finalizada,5,4,0.8,True,True
P04,PAR-105,Retirada,5,4,0.8,False,False
P04,PAR-115,Finalizada,6,3,0.5,False,True
P04,PAR-119,Finalizada,5,5,1.0,True,True
P04,PAR-128,Finalizada,5,5,1.0,True,True
P04,PAR-129,Finalizada,6,5,0.8333333333333334,True,True
P04,PAR-131,Finalizada,5,2,0.4,False,True
P04,PAR-136,Finalizada,6,5,0.8333333333333334,True,True
