codigo_proyecto,codigo_participante,tipo_medicion,fecha_medicion,puntaje_conocimientos,puntaje_confianza,puntaje_convivencia,formulario_completo
P01,PAR-001,Baseline,2024-02-09,35,63,48,True
P01,PAR-001,Endline,2025-12-01,36,63,47,True
P01,PAR-005,Baseline,2024-01-29,53,53,41,True
P01,PAR-005,Endline,2025-11-30,63,65,53,True
P01,PAR-007,Baseline,2024-02-28,52,46,62,True
P01,PAR-007,Endline,2025-12-05,52,44,57,True
P01,PAR-010,Baseline,2024-03-06,53,48,65,True
P01,PAR-017,Baseline,2024-01-04,59,65,45,True
P01,PAR-017,Endline,2025-12-05,74,79,58,True
P01,PAR-032,Baseline,2024-03-06,41,70,64,True
P01,PAR-032,Endline,2025-12-02,51,80,79,True
P01,PAR-039,Baseline,2024-01-18,46,67,51,True
P01,PAR-049,Baseline,2024-02-14,60,41,63,True
P01,PAR-049,Endline,2025-12-03,66,40,67,True
P01,PAR-053,Baseline,2024-03-02,52,49,66,True
P01,PAR-053,Endline,2025-12-05,70,63,84,True
P01,PAR-055,Baseline,2024-02-13,57,42,41,True
P01,PAR-055,Endline,2025-12-05,58,44,40,True
P01,PAR-067,Baseline,2024-03-01,62,43,52,True
P01,PAR-067,Endline,2025-12-02,67,51,55,True
P01,PAR-072,Baseline,2024-03-07,46,51,46,True
P01,PAR-072,Endline,2025-12-05,59,70,65,True
P01,PAR-074,Baseline,2024-02-04,54,60,45,True
P01,PAR-074,Endline,2025-12-04,66,71,61,True
P01,PAR-086,Baseline,2024-02-19,43,69,60,True
P01,PAR-086,Endline,2025-12-05,43,64,62,True
P01,PAR-090,Baseline,2024-01-19,61,64,64,True
P01,PAR-090,Endline,2025-11-30,62,62,67,True
P01,PAR-097,Baseline,2024-02-28,43,42,46,True
P01,PAR-097,Endline,2025-12-04,40,37,48,True
P01,PAR-098,Baseline,2024-01-24,47,68,69,True
P01,PAR-098,Endline,2025-12-05,52,68,71,True
P01,PAR-103,Baseline,2024-03-08,42,63,57,True
P01,PAR-103,Endline,2025-12-04,55,81,72,True
P01,PAR-104,Baseline,2024-02-27,46,47,44,True
P01,PAR-104,Endline,2025-12-04,51,46,42,True
P01,PAR-110,Baseline,2024-02-27,39,60,45,True
P01,PAR-110,Endline,2025-12-06,58,75,63,True
P01,PAR-112,Baseline,2024-01-09,47,52,59,True
P01,PAR-112,Endline,2025-12-03,64,65,76,True
P01,PAR-113,Baseline,2024-03-07,56,63,43,True
P01,PAR-113,Endline,2025-12-05,73,76,62,True
P01,PAR-120,Baseline,2024-01-20,38,49,53,True
P01,PAR-120,Endline,2025-12-01,54,58,66,True
P01,PAR-123,Baseline,2024-03-04,51,69,43,True
P01,PAR-123,Endline,2025-12-06,53,65,45,True
P01,PAR-126,Baseline,2024-01-14,39,51,64,True
P01,PAR-126,Endline,2025-12-01,45,57,62,True
P02,PAR-147,Baseline,2024-04-10,50,40,43,True
P02,PAR-147,Endline,2025-08-01,51,40,40,True
P02,PAR-150,Baseline,2024-02-12,63,58,70,True
P02,PAR-150,Endline,2025-07-30,69,70,76,True
P02,PAR-154,Baseline,2024-01-09,39,61,55,True
P02,PAR-154,Endline,2025-08-03,38,62,60,True
P02,PAR-155,Baseline,2024-03-24,65,46,69,True
P02,PAR-155,Endline,2025-08-03,77,59,84,True
P02,PAR-158,Baseline,2024-01-26,49,68,56,True
P02,PAR-158,Endline,2025-08-02,59,80,68,True
P02,PAR-159,Baseline,2024-02-27,45,40,58,True
P02,PAR-161,Baseline,2024-03-02,53,47,40,True
P02,PAR-161,Endline,2025-07-30,68,52,48,True
P02,PAR-164,Baseline,2024-02-15,63,41,67,True
P02,PAR-164,Endline,2025-08-01,69,54,75,True
P02,PAR-171,Baseline,2024-01-25,56,55,46,True
P02,PAR-171,Endline,2025-08-03,63,69,60,True
P02,PAR-176,Baseline,2024-03-10,42,65,55,True
P02,PAR-176,Endline,2025-08-05,45,65,53,True
P02,PAR-177,Baseline,2024-03-14,56,53,51,True
P02,PAR-177,Endline,2025-08-02,71,69,60,True
P02,PAR-178,Baseline,2024-02-24,36,52,63,True
P02,PAR-178,Endline,2025-08-01,46,64,75,True
P02,PAR-181,Baseline,2024-01-07,52,54,44,True
P02,PAR-181,Endline,2025-08-02,58,62,55,True
P02,PAR-185,Baseline,2024-04-07,62,69,42,True
P02,PAR-185,Endline,2025-08-02,65,65,37,True
P02,PAR-186,Baseline,2024-03-25,37,69,64,True
P02,PAR-186,Endline,2025-08-05,33,64,63,True
P02,PAR-188,Baseline,2024-04-02,50,46,67,True
P02,PAR-188,Endline,2025-08-02,55,53,78,True
P02,PAR-189,Baseline,2024-01-11,47,48,69,True
P02,PAR-191,Baseline,2024-01-18,44,53,62,True
P02,PAR-191,Endline,2025-08-04,47,58,64,True
P02,PAR-193,Baseline,2024-02-13,41,49,46,True
P02,PAR-193,Endline,2025-07-30,47,54,43,True
P02,PAR-197,Baseline,2024-03-27,36,41,58,True
P02,PAR-197,Endline,2025-08-02,37,42,53,True
P03,PAR-202,Baseline,2024-12-04,65,56,42,True
P03,PAR-202,Endline,2026-01-01,71,61,55,True
P03,PAR-204,Baseline,2024-05-10,56,67,47,True
P03,PAR-204,Endline,2025-12-29,55,74,48,True
P03,PAR-205,Baseline,2024-05-08,54,42,53,True
P03,PAR-205,Endline,2025-12-31,58,46,56,True
P03,PAR-207,Baseline,2024-08-07,64,48,46,True
P03,PAR-212,Baseline,2024-01-16,42,48,52,True
P03,PAR-212,Endline,2025-12-27,50,56,54,True
P03,PAR-230,Baseline,2024-12-12,45,69,64,True
P03,PAR-230,Endline,2025-12-26,43,74,71,True
P03,PAR-233,Baseline,2024-09-24,37,57,46,True
P03,PAR-233,Endline,2025-12-30,45,63,55,True
P03,PAR-235,Baseline,2024-04-09,63,47,51,True
P03,PAR-236,Baseline,2024-02-22,40,54,66,True
P03,PAR-236,Endline,2025-12-30,42,61,74,True
P03,PAR-241,Baseline,2024-08-08,56,66,57,True
P03,PAR-241,Endline,2025-12-28,70,71,63,True
P03,PAR-243,Baseline,2024-06-04,38,68,43,True
P03,PAR-243,Endline,2025-12-31,55,79,56,True
P03,PAR-247,Baseline,2024-01-14,54,46,62,True
P03,PAR-247,Endline,2025-12-28,52,51,67,True
P03,PAR-253,Baseline,2024-05-25,51,55,48,True
P03,PAR-253,Endline,2026-01-01,60,65,67,True
P03,PAR-254,Baseline,2025-01-05,61,48,41,True
P03,PAR-254,Endline,2025-12-26,75,59,60,True
P03,PAR-257,Baseline,2024-05-02,40,63,54,True
P03,PAR-257,Endline,2025-12-30,41,66,49,True
P03,PAR-260,Baseline,2024-05-29,37,70,68,True
P03,PAR-260,Endline,2025-12-31,45,84,74,True
P03,PAR-267,Baseline,2024-03-28,53,57,44,True
P03,PAR-267,Endline,2025-12-29,45,47,38,True
P03,PAR-270,Baseline,2024-02-13,63,69,65,True
P03,PAR-270,Endline,2026-01-01,55,66,60,True
P03,PAR-283,Baseline,2024-06-13,56,43,51,True
P03,PAR-283,Endline,2026-01-01,59,44,55,True
P03,PAR-288,Baseline,2024-01-17,64,69,47,True
P03,PAR-288,Endline,2026-01-01,75,80,62,True
P03,PAR-290,Baseline,2024-05-01,40,63,69,True
P03,PAR-290,Endline,2025-12-28,55,82,81,True
P03,PAR-291,Baseline,2024-05-04,40,65,62,True
P03,PAR-291,Endline,2025-12-26,50,69,73,True
P03,PAR-292,Baseline,2024-11-19,41,66,69,True
P03,PAR-292,Endline,2025-12-29,55,79,81,True
P03,PAR-293,Baseline,2024-01-23,35,61,46,True
P03,PAR-293,Endline,2025-12-29,46,71,53,True
P03,PAR-295,Baseline,2025-01-03,46,60,56,True
P03,PAR-295,Endline,2025-12-29,48,60,53,True
P03,PAR-300,Baseline,2024-08-15,38,68,48,True
P03,PAR-300,Endline,2025-12-27,35,60,36,True
P04,PAR-010,Baseline,2024-02-06,54,53,51,True
P04,PAR-010,Endline,2025-11-18,64,64,65,True
P04,PAR-011,Baseline,2024-08-31,47,68,58,True
P04,PAR-011,Endline,2025-11-14,49,66,62,True
P04,PAR-014,Baseline,2024-01-21,51,69,65,True
P04,PAR-014,Endline,2025-11-17,70,88,77,True
P04,PAR-017,Baseline,2024-01-13,48,42,70,True
P04,PAR-017,Endline,2025-11-18,58,56,80,True
P04,PAR-018,Baseline,2024-04-09,58,68,49,True
P04,PAR-018,Endline,2025-11-17,60,76,53,True
P04,PAR-032,Baseline,2024-08-27,47,62,49,True
P04,PAR-032,Endline,2025-11-17,55,71,61,True
P04,PAR-033,Baseline,2024-07-05,56,63,68,True
P04,PAR-033,Endline,2025-11-14,62,69,69,True
P04,PAR-077,Baseline,2024-06-12,52,66,40,True
