codigo_participante,id_territorio,sexo,rango_edad,grupo_poblacional,fecha_registro
PAR-001,2,Mujer,18-25,Comunidades étnicas,2024-02-08
PAR-002,1,Mujer,18-25,Juventud,2024-02-18
PAR-003,2,Mujer,18-25,Juventud rural,2024-02-17
PAR-004,1,Mujer,36-45,Liderazgo comunitario,2024-07-28
PAR-005,2,Mujer,18-25,Juventud rural,2024-01-28
PAR-006,2,Mujer,26-35,Población desplazada,2024-05-08
PAR-007,2,Mujer,18-25,Población desplazada,2024-02-28
PAR-008,1,Mujer,18-25,Juventud,2024-02-07
PAR-009,2,Hombre,36-45,Víctimas del conflicto,2024-11-24
PAR-010,2,Hombre,18-25,Juventud,2024-02-05
PAR-011,1,Hombre,26-35,Población desplazada,2024-08-30
PAR-012,2,Hombre,18-25,Juventud rural,2024-03-05
PAR-013,2,Mujer,36-45,Liderazgo comunitario,2024-11-10
PAR-014,1,Hombre,36-45,Comunidades étnicas,2024-01-21
PAR-015,2,Hombre,18-25,Víctimas del conflicto,2024-01-09
PAR-016,1,Mujer,18-25,Comunidades étnicas,2024-03-01
PAR-017,2,Mujer,18-25,Población desplazada,2024-01-04
PAR-018,1,Mujer,46-60,Población desplazada,2024-04-08
PAR-019,1,Mujer,18-25,Juventud,2024-02-27
PAR-020,2,Hombre,46-60,Comunidades étnicas,2024-01-14
PAR-021,2,Hombre,26-35,Comunidades étnicas,2024-06-04
PAR-022,2,Mujer,26-35,Liderazgo comunitario,2024-11-11
PAR-023,1,Hombre,26-35,Comunidades étnicas,2024-02-08
PAR-024,1,Hombre,18-25,Juventud,2024-08-01
PAR-025,2,Mujer,18-25,Liderazgo comunitario,2024-02-24
PAR-026,2,Hombre,26-35,Liderazgo comunitario,2024-11-11
PAR-027,1,Mujer,18-25,Comunidades étnicas,2024-08-01
PAR-028,2,Hombre,36-45,Comunidades étnicas,2024-10-12
PAR-029,2,Mujer,18-25,Juventud,2024-02-23
PAR-030,2,Mujer,26-35,Víctimas del conflicto,2024-04-05
PAR-031,2,Hombre,26-35,Comunidades étnicas,2024-04-30
PAR-032,1,Mujer,18-25,Juventud,2024-03-05
PAR-033,2,Mujer,26-35,Comunidades étnicas,2024-06-29
PAR-034,1,Hombre,26-35,Víctimas del conflicto,2024-10-28
PAR-035,2,Mujer,18-25,Juventud rural,2024-07-31
PAR-036,2,Mujer,18-25,Población desplazada,2024-02-11
PAR-037,1,Hombre,18-25,Juventud,2024-04-04
PAR-038,1,Mujer,26-35,Comunidades étnicas,2025-01-06
PAR-039,2,Hombre,18-25,Juventud,2024-01-17
PAR-040,1,Mujer,26-35,Comunidades étnicas,2024-07-31
PAR-041,1,Mujer,46-60,Liderazgo comunitario,2024-12-27
PAR-042,1,Mujer,46-60,Comunidades étnicas,2024-01-24
PAR-043,1,Mujer,46-60,Comunidades étnicas,2024-07-17
PAR-044,2,Hombre,26-35,Población desplazada,2024-02-27
PAR-045,1,Hombre,46-60,Población desplazada,2025-01-20
PAR-046,2,Hombre,36-45,Víctimas del conflicto,2024-10-09
PAR-047,1,Mujer,18-25,Víctimas del conflicto,2024-02-05
PAR-048,1,Hombre,18-25,Juventud,2024-02-25
PAR-049,1,Hombre,18-25,Juventud,2024-02-10
PAR-050,1,Mujer,36-45,Liderazgo comunitario,2024-02-26
PAR-051,1,Hombre,18-25,Juventud,2024-03-03
PAR-052,2,Hombre,18-25,Juventud,2024-01-15
PAR-053,1,Mujer,18-25,Liderazgo comunitario,2024-03-01
PAR-054,2,Hombre,18-25,Juventud rural,2024-01-29
PAR-055,1,Mujer,18-25,Liderazgo comunitario,2024-02-10
PAR-056,1,Mujer,26-35,Víctimas del conflicto,2024-04-24
PAR-057,1,Mujer,26-35,Población desplazada,2024-09-15
PAR-058,2,Hombre,26-35,Población desplazada,2024-09-27
PAR-059,1,Mujer,18-25,Comunidades étnicas,2024-02-07
PAR-060,2,Hombre,26-35,Comunidades étnicas,2024-04-21
PAR-061,2,Hombre,46-60,Población desplazada,2024-01-10
PAR-062,1,Mujer,26-35,Víctimas del conflicto,2024-07-31
PAR-063,1,Hombre,26-35,Población desplazada,2024-03-22
PAR-064,2,Mujer,18-25,Comunidades étnicas,2024-08-08
PAR-065,2,Hombre,26-35,Población desplazada,2024-01-07
PAR-066,2,Hombre,18-25,Población desplazada,2024-04-03
PAR-067,2,Hombre,18-25,Juventud rural,2024-02-27
PAR-068,1,Mujer,18-25,Población desplazada,2024-02-23
