codigo_participante,codigo_proyecto,fecha_inscripcion,estado_participacion,fecha_salida,motivo_salida
PAR-074,P01,2024-02-03,Finalizada,,
PAR-091,P01,2024-01-07,Finalizada,,
PAR-039,P01,2024-01-17,Retirada,2025-02-15,Cambio de residencia
PAR-068,P01,2024-02-23,Finalizada,,
PAR-081,P01,2024-03-08,Finalizada,,
PAR-120,P01,2024-01-15,Finalizada,,
PAR-073,P01,2024-01-09,Finalizada,,
PAR-016,P01,2024-03-01,Finalizada,,
PAR-019,P01,2024-02-27,Finalizada,,
PAR-137,P01,2024-02-16,Finalizada,,
PAR-072,P01,2024-03-06,Finalizada,,
PAR-143,P01,2024-01-14,Finalizada,,
PAR-067,P01,2024-02-27,Finalizada,,
PAR-032,P01,2024-03-05,Finalizada,,
PAR-054,P01,2024-01-29,Finalizada,,
PAR-105,P01,2024-01-06,Finalizada,,
PAR-113,P01,2024-03-07,Finalizada,,
PAR-001,P01,2024-02-08,Finalizada,,
PAR-007,P01,2024-02-28,Finalizada,,
PAR-017,P01,2024-01-04,Finalizada,,
PAR-112,P01,2024-01-08,Finalizada,,
PAR-123,P01,2024-03-02,Finalizada,,
PAR-077,P01,2024-02-21,Finalizada,,
PAR-099,P01,2024-02-24,Finalizada,,
PAR-090,P01,2024-01-14,Finalizada,,
PAR-051,P01,2024-03-03,Finalizada,,
PAR-110,P01,2024-02-26,Finalizada,,
PAR-107,P01,2024-01-10,Finalizada,,
PAR-126,P01,2024-01-11,Finalizada,,
PAR-036,P01,2024-02-11,Finalizada,,
PAR-085,P01,2024-01-19,Finalizada,,
PAR-015,P01,2024-01-09,Finalizada,,
PAR-098,P01,2024-01-17,Finalizada,,
PAR-047,P01,2024-02-05,Finalizada,,
PAR-093,P01,2024-02-11,Finalizada,,
PAR-002,P01,2024-02-18,Finalizada,,
PAR-103,P01,2024-03-08,Finalizada,,
PAR-008,P01,2024-02-07,Finalizada,,
PAR-059,P01,2024-02-28,Finalizada,,
PAR-012,P01,2024-03-05,Finalizada,,
PAR-116,P01,2024-02-25,Finalizada,,
PAR-135,P01,2024-01-13,Finalizada,,
PAR-052,P01,2024-01-15,Finalizada,,
PAR-005,P01,2024-01-28,Finalizada,,
PAR-048,P01,2024-02-25,Finalizada,,
PAR-083,P01,2024-02-27,Finalizada,,
PAR-070,P01,2024-01-30,Finalizada,,
PAR-097,P01,2024-02-22,Finalizada,,
PAR-086,P01,2024-02-13,Finalizada,,
PAR-010,P01,2024-02-28,Retirada,2025-03-17,Incompatibilidad horaria
PAR-104,P01,2024-02-21,Finalizada,,
PAR-029,P01,2024-02-23,Finalizada,,
PAR-114,P01,2024-01-13,Finalizada,,
PAR-055,P01,2024-02-10,Finalizada,,
PAR-025,P01,2024-02-24,Finalizada,,
PAR-049,P01,2024-02-10,Finalizada,,
PAR-089,P01,2024-02-02,Finalizada,,
PAR-003,P01,2024-02-17,Finalizada,,
PAR-130,P01,2024-01-20,Finalizada,,
PAR-053,P01,2024-03-01,Finalizada,,
PAR-078,P01,2024-03-28,Finalizada,,
PAR-066,P01,2024-04-03,Finalizada,,
PAR-117,P01,2024-04-01,Finalizada,,
PAR-140,P01,2024-04-03,Finalizada,,
PAR-122,P01,2024-06-29,Retirada,2025-06-19,Motivos laborales
PAR-037,P01,2024-04-04,Finalizada,,
PAR-100,P01,2024-09-17,Finalizada,,
PAR-092,P01,2024-09-16,Finalizada,,
PAR-108,P01,2024-06-14,Finalizada,,
PAR-096,P01,2024-04-13,Retirada,2025-09-06,Cambio de residencia
PAR-035,P01,2024-07-31,Retirada,2025-09-16,Cambio de residencia
PAR-124,P01,2024-03-26,Finalizada,,
PAR-064,P01,2024-08-08,Finalizada,,
PAR-024,P01,2024-08-01,Retirada,2025-03-10,Responsabilidades de cuidado
PAR-027,P01,2024-08-01,Finalizada,,
PAR-185,P02,2024-04-04,Finalizada,,
PAR-197,P02,2024-03-22,Finalizada,,
PAR-200,P02,2024-05-04,Retirada,2025-07-25,Motivos personales
PAR-181,P02,2024-01-04,Finalizada,,
PAR-175,P02,2024-01-12,Finalizada,,
PAR-147,P02,2024-04-05,Finalizada,,
PAR-179,P02,2024-03-08,Retirada,2024-04-25,Responsabilidades de cuidado
PAR-148,P02,2024-01-28,Finalizada,,
PAR-162,P02,2024-02-18,Retirada,2024-12-07,Motivos laborales
PAR-156,P02,2024-02-23,Finalizada,,
PAR-161,P02,2024-02-28,Finalizada,,
PAR-180,P02,2024-02-13,Retirada,2025-05-31,Responsabilidades de cuidado
PAR-158,P02,2024-01-21,Finalizada,,
PAR-157,P02,2024-02-17,Finalizada,,
PAR-150,P02,2024-02-09,Finalizada,,
PAR-151,P02,2024-04-02,Finalizada,,
PAR-193,P02,2024-02-11,Finalizada,,
PAR-174,P02,2024-04-09,Finalizada,,
PAR-146,P02,2024-04-30,Finalizada,,
PAR-177,P02,2024-03-13,Finalizada,,
PAR-166,P02,2024-03-17,Finalizada,,
PAR-189,P02,2024-01-11,Retirada,2024-12-29,Responsabilidades de cuidado
PAR-195,P02,2024-04-23,Retirada,2025-01-20,Responsabilidades de cuidado
PAR-163,P02,2024-01-07,Finalizada,,
PAR-183,P02,2024-01-20,Finalizada,,
PAR-171,P02,2024-01-21,Finalizada,,
PAR-198,P02,2024-04-06,Finalizada,,
PAR-190,P02,2024-03-20,Finalizada,,
PAR-154,P02,2024-01-07,Finalizada,,
PAR-170,P02,2024-03-27,Retirada,2024-09-12,Cambio de residencia
PAR-191,P02,2024-01-11,Finalizada,,
